"Demt_6","Demt_5","Demt_4","Demt_3","Demt_2","Demt_1","Demt_0","Temp_6","Temp_5","Temp_4","Temp_3","Temp_2","Temp_1","Temp_0","Snmt_6","Snmt_5","Snmt_4","Snmt_3","Snmt_2","Snmt_1","Snmt_0","ETt_6","ETt_5","ETt_4","ETt_3","ETt_2","ETt_1","ETt_0","Rt_6","Rt_5","Rt_4","Rt_3","Rt_2","Rt_1","Rt_0","Wlt_6","Wlt_5","Wlt_4","Wlt_3","Wlt_2","Wlt_1","Wlt_0"
0,0,0,10.8199955078349,80.3203550545497,134.245453553196,182.385064100058,7.41408163265309,8.06775510204084,12.7955102040817,16.960612244898,22.985918367347,30.0679982461735,30.2618367346939,0.921338775510204,5.1390693877551,0,0,0,0,0,15.5887755102041,20.7598408163265,14.0820326530612,18.2591510204082,49.8084469387755,48.5259734693878,14.0962081632653,19.3111244897959,9.13502040816327,0.499722448979592,13.5207183673469,64.250906122449,45.0830367346939,2.65639183673469,126,126,126.833333333333,127.166666666667,127.122857142857,128.666666666667,131.5
0,0,10.8199955078349,80.3203550545497,134.245453553196,182.385064100058,208.370929249699,8.06775510204084,12.7955102040817,16.960612244898,22.985918367347,30.0679982461735,30.2618367346939,28.4512635522959,5.1390693877551,0,0,0,0,0,0,20.7598408163265,14.0820326530612,18.2591510204082,49.8084469387755,48.5259734693878,14.0962081632653,41.5037673469388,9.13502040816327,0.499722448979592,13.5207183673469,64.250906122449,45.0830367346939,2.65639183673469,43.6315428571429,126,126.833333333333,127.166666666667,127.122857142857,128.666666666667,131.5,132.454285714286
0,10.8199955078349,80.3203550545497,134.245453553196,182.385064100058,208.370929249699,175.79993754631,12.7955102040817,16.960612244898,22.985918367347,30.0679982461735,30.2618367346939,28.4512635522959,24.2697959183674,0,0,0,0,0,0,0,14.0820326530612,18.2591510204082,49.8084469387755,48.5259734693878,14.0962081632653,41.5037673469388,53.7313714285714,0.499722448979592,13.5207183673469,64.250906122449,45.0830367346939,2.65639183673469,43.6315428571429,192.017371428571,126.833333333333,127.166666666667,127.122857142857,128.666666666667,131.5,132.454285714286,131.333333333333
10.8199955078349,80.3203550545497,134.245453553196,182.385064100058,208.370929249699,175.79993754631,68.6111573819462,16.960612244898,22.985918367347,30.0679982461735,30.2618367346939,28.4512635522959,24.2697959183674,17.0167346938776,0,0,0,0,0,0,0,18.2591510204082,49.8084469387755,48.5259734693878,14.0962081632653,41.5037673469388,53.7313714285714,51.3203142857143,13.5207183673469,64.250906122449,45.0830367346939,2.65639183673469,43.6315428571429,192.017371428571,3.19020408163265,127.166666666667,127.122857142857,128.666666666667,131.5,132.454285714286,131.333333333333,129.5
80.3203550545497,134.245453553196,182.385064100058,208.370929249699,175.79993754631,68.6111573819462,0,22.985918367347,30.0679982461735,30.2618367346939,28.4512635522959,24.2697959183674,17.0167346938776,9.03452885841839,0,0,0,0,0,0,4.35885102040816,49.8084469387755,48.5259734693878,14.0962081632653,41.5037673469388,53.7313714285714,51.3203142857143,20.0808510204082,64.250906122449,45.0830367346939,2.65639183673469,43.6315428571429,192.017371428571,3.19020408163265,26.0968489795918,127.122857142857,128.666666666667,131.5,132.454285714286,131.333333333333,129.5,129.405714285714
134.245453553196,182.385064100058,208.370929249699,175.79993754631,68.6111573819462,0,0,30.0679982461735,30.2618367346939,28.4512635522959,24.2697959183674,17.0167346938776,9.03452885841839,8.42346938775512,0,0,0,0,0,4.35885102040816,0,48.5259734693878,14.0962081632653,41.5037673469388,53.7313714285714,51.3203142857143,20.0808510204082,18.3284142857143,45.0830367346939,2.65639183673469,43.6315428571429,192.017371428571,3.19020408163265,26.0968489795918,17.1478204081633,128.666666666667,131.5,132.454285714286,131.333333333333,129.5,129.405714285714,128.166666666667
182.385064100058,208.370929249699,175.79993754631,68.6111573819462,0,0,0,30.2618367346939,28.4512635522959,24.2697959183674,17.0167346938776,9.03452885841839,8.42346938775512,6.56959183673472,0,0,0,0,4.35885102040816,0,6.40646530612245,14.0962081632653,41.5037673469388,53.7313714285714,51.3203142857143,20.0808510204082,18.3284142857143,15.1541244897959,2.65639183673469,43.6315428571429,192.017371428571,3.19020408163265,26.0968489795918,17.1478204081633,11.4775755102994,131.5,132.454285714286,131.333333333333,129.5,129.405714285714,128.166666666667,132.26
208.370929249699,175.79993754631,68.6111573819462,0,0,0,0,28.4512635522959,24.2697959183674,17.0167346938776,9.03452885841839,8.42346938775512,6.56959183673472,9.79306122448982,0,0,0,4.35885102040816,0,6.40646530612245,0.00222040816326531,41.5037673469388,53.7313714285714,51.3203142857143,20.0808510204082,18.3284142857143,15.1541244897959,15.9836795918367,43.6315428571429,192.017371428571,3.19020408163265,26.0968489795918,17.1478204081633,11.4775755102994,10.9270204081633,132.454285714286,131.333333333333,129.5,129.405714285714,128.166666666667,132.26,129.5
175.79993754631,68.6111573819462,0,0,0,0,0,24.2697959183674,17.0167346938776,9.03452885841839,8.42346938775512,6.56959183673472,9.79306122448982,12.7643247767857,0,0,4.35885102040816,0,6.40646530612245,0.00222040816326531,0,53.7313714285714,51.3203142857143,20.0808510204082,18.3284142857143,15.1541244897959,15.9836795918367,29.3710551020408,192.017371428571,3.19020408163265,26.0968489795918,17.1478204081633,11.4775755102994,10.9270204081633,11.6074653061224,131.333333333333,129.5,129.405714285714,128.166666666667,132.26,129.5,129.166666666667
68.6111573819462,0,0,0,0,0,11.3350444956498,17.0167346938776,9.03452885841839,8.42346938775512,6.56959183673472,9.79306122448982,12.7643247767857,19.68,0,4.35885102040816,0,6.40646530612245,0.00222040816326531,0,0,51.3203142857143,20.0808510204082,18.3284142857143,15.1541244897959,15.9836795918367,29.3710551020408,45.6261244897959,3.19020408163265,26.0968489795918,17.1478204081633,11.4775755102994,10.9270204081633,11.6074653061224,55.8012081632653,129.5,129.405714285714,128.166666666667,132.26,129.5,129.166666666667,129.981428571429
