Demt_6,Demt_5,Demt_4,Demt_3,Demt_2,Demt_1,Demt_0,Temp_6,Temp_5,Temp_4,Temp_3,Temp_2,Temp_1,Temp_0,Snmt_6,Snmt_5,Snmt_4,Snmt_3,Snmt_2,Snmt_1,Snmt_0,ETt_6,ETt_5,ETt_4,ETt_3,ETt_2,ETt_1,ETt_0,Rt_6,Rt_5,Rt_4,Rt_3,Rt_2,Rt_1,Rt_0,Wlt_6,Wlt_5,Wlt_4,Wlt_3,Wlt_2,Wlt_1,Wlt_0
0,0,0,0,9.801128075,71.18562177,142.0893907,-2.677692308,-2.470769231,-2.851153846,6.190039063,14.97384615,14.95115385,23.40846154,1.766153846,0.114092308,4.025723077,0.120861538,0,0,0,5.135253846,3.313146154,8.680669231,23.23080769,43.92736154,74.54068462,70.67450769,4.898461538,2.595661539,7.591384615,59.52247692,16.42289231,95.39987692,65.08356923,155.5771429,155.045,154.57,154.03,155.0614286,154.1657143,158.5457143
0,0,0,9.801128075,71.18562177,142.0893907,205.142414,-2.470769231,-2.851153846,6.190039063,14.97384615,14.95115385,23.40846154,25.40923077,0.114092308,4.025723077,0.120861538,0,0,0,0,3.313146154,8.680669231,23.23080769,43.92736154,74.54068462,70.67450769,100.3564923,2.595661539,7.591384615,59.52247692,16.42289231,95.39987692,65.08356923,114.1196308,155.045,154.57,154.03,155.0614286,154.1657143,158.5457143,165.3016667
0,0,9.801128075,71.18562177,142.0893907,205.142414,196.2142588,-2.851153846,6.190039063,14.97384615,14.95115385,23.40846154,25.40923077,22.82196214,4.025723077,0.120861538,0,0,0,0,0,8.680669231,23.23080769,43.92736154,74.54068462,70.67450769,100.3564923,120.5359846,7.591384615,59.52247692,16.42289231,95.39987692,65.08356923,114.1196308,142.1115077,154.57,154.03,155.0614286,154.1657143,158.5457143,165.3016667,158.7214286
0,9.801128075,71.18562177,142.0893907,205.142414,196.2142588,57.58438995,6.190039063,14.97384615,14.95115385,23.40846154,25.40923077,22.82196214,19.43769231,0.120861538,0,0,0,0,0,0,23.23080769,43.92736154,74.54068462,70.67450769,100.3564923,120.5359846,69.20902308,59.52247692,16.42289231,95.39987692,65.08356923,114.1196308,142.1115077,43.2224,154.03,155.0614286,154.1657143,158.5457143,165.3016667,158.7214286,157.0371429
9.801128075,71.18562177,142.0893907,205.142414,196.2142588,57.58438995,0,14.97384615,14.95115385,23.40846154,25.40923077,22.82196214,19.43769231,11.01580829,0,0,0,0,0,0,0.505476923,43.92736154,74.54068462,70.67450769,100.3564923,120.5359846,69.20902308,31.53478462,16.42289231,95.39987692,65.08356923,114.1196308,142.1115077,43.2224,29.38289231,155.0614286,154.1657143,158.5457143,165.3016667,158.7214286,157.0371429,156.1871429
71.18562177,142.0893907,205.142414,196.2142588,57.58438995,0,0,14.95115385,23.40846154,25.40923077,22.82196214,19.43769231,11.01580829,5.068846154,0,0,0,0,0,0.505476923,0.282830769,74.54068462,70.67450769,100.3564923,120.5359846,69.20902308,31.53478462,19.34542347,95.39987692,65.08356923,114.1196308,142.1115077,43.2224,29.38289231,84.76553846,154.1657143,158.5457143,165.3016667,158.7214286,157.0371429,156.1871429,155.3942857
142.0893907,205.142414,196.2142588,57.58438995,0,0,0,23.40846154,25.40923077,22.82196214,19.43769231,11.01580829,5.068846154,-6.263422476,0,0,0,0,0.505476923,0.282830769,2.105107692,70.67450769,100.3564923,120.5359846,69.20902308,31.53478462,19.34542347,7.040538852,65.08356923,114.1196308,142.1115077,43.2224,29.38289231,84.76553846,16.35052308,158.5457143,165.3016667,158.7214286,157.0371429,156.1871429,155.3942857,155.0642857
205.142414,196.2142588,57.58438995,0,0,0,0,25.40923077,22.82196214,19.43769231,11.01580829,5.068846154,-6.263422476,-13.31153846,0,0,0,0.505476923,0.282830769,2.105107692,0.159753846,100.3564923,120.5359846,69.20902308,31.53478462,19.34542347,7.040538852,3.284569231,114.1196308,142.1115077,43.2224,29.38289231,84.76553846,16.35052308,19.13206154,165.3016667,158.7214286,157.0371429,156.1871429,155.3942857,155.0642857,154.7183333
196.2142588,57.58438995,0,0,0,0,0,22.82196214,19.43769231,11.01580829,5.068846154,-6.263422476,-13.31153846,-8.593461538,0,0,0.505476923,0.282830769,2.105107692,0.159753846,5.187938462,120.5359846,69.20902308,31.53478462,19.34542347,7.040538852,3.284569231,1.170469231,142.1115077,43.2224,29.38289231,84.76553846,16.35052308,19.13206154,8.774892308,158.7214286,157.0371429,156.1871429,155.3942857,155.0642857,154.7183333,154.52
57.58438995,0,0,0,0,0,0,19.43769231,11.01580829,5.068846154,-6.263422476,-13.31153846,-8.593461538,0.767692308,0,0.505476923,0.282830769,2.105107692,0.159753846,5.187938462,37.06609231,69.20902308,31.53478462,19.34542347,7.040538852,3.284569231,1.170469231,24.01927692,43.2224,29.38289231,84.76553846,16.35052308,19.13206154,8.774892308,49.99089231,157.0371429,156.1871429,155.3942857,155.0642857,154.7183333,154.52,153.9742857
