Observed,Predicted
131.5,129.05093578964562
132.454285714286,131.66733663703383
131.333333333333,132.56996226207016
129.5,131.5106993066664
129.405714285714,129.7827907632395
128.166666666667,129.72331158772855
132.26,128.71439006437674
129.5,132.38537316919582
129.166666666667,129.97577750636893
129.981428571429,129.50500746158178
131.0,130.25223970892088
133.666666666667,131.1983725253568
135.022857142857,133.72957912512004
135.333333333333,135.04114591953217
135.0,135.3432119932214
133.217142857143,135.0189322009502
134.666666666667,133.29806518450587
135.666666666667,134.69537854886354
136.785,135.56623995230933
136.8,136.74132914414326
137.666666666667,136.82356134746587
137.928571428571,137.63358383249692
137.833333333333,137.88702801682265
138.166666666667,137.79322431591743
138.322857142857,138.12159264480294
138.5,138.27553129100647
138.833333333333,138.4501736836693
137.666666666667,138.77891924774056
137.0,137.46145491334303
135.4,136.78157286974343
135.111428571429,135.43274788390735
135.4,135.28695629489556
135.0,135.8570670909908
135.707142857143,134.97433257186873
136.0,135.70766606576856
137.333333333333,136.0098705528879
137.988571428571,137.30125234847165
139.0,137.94612629148745
139.166666666667,138.94335390234932
139.685714285714,139.10780261916685
139.666666666667,139.62001320268155
139.0,139.56096473676658
138.847142857143,138.92729564834877
138.4,138.79749517341205
138.0,138.35222864394888
139.28,137.9577306112476
139.9225,139.22003109288283
140.5,139.85368289906626
141.522857142857,140.42341233052707
142.0,141.43120996113123
142.5,141.90039718847487
141.835714285714,142.39118649771942
141.666666666667,141.7388239253448
142.833333333333,141.467206395663
143.42,142.56857162988325
143.429398831405,143.22421020129187
143.996630136353,143.2969210947566
143.9625,143.85681275211232
144.333333333333,143.81991025089968
145.0,144.18017746605398
146.292857142857,144.8253990288053
147.333333333333,146.06630546506852
148.166666666667,147.05335713816544
148.811428571429,147.83531405894578
147.5,148.4345563384542
146.5,147.19093696607217
146.0,146.25788920100717
146.5,145.60940101108474
148.25,146.26447373713182
149.333333333333,147.88241328670472
150.0,148.91566824761577
150.0,149.52478723559932
149.0,149.52478723559932
149.0,148.60880724525498
148.428571428571,148.60880724525498
148.0,148.0793592834352
147.166666666667,147.60565817338434
146.0,146.7749779033118
145.5,145.63620222249358
144.975714285714,145.2712419658849
144.0,144.79243233988575
143.833333333333,143.85965869409864
143.666666666667,143.69458999766823
143.0,143.53187011711057
143.0,142.88090164443983
143.443932733349,142.88090164443983
