Observed,Predicted
16.9245524821948,17.166312122871236
16.7743843795854,16.756970036703468
16.5089786297493,16.356068667552023
16.2980858064037,16.24692171032498
16.2131371028489,16.12430115754042
15.8,16.015767799980456
16.2,15.703314051665945
16.9,16.219071527291526
16.6,17.022754768729715
17.1,16.787780961136903
18.2,17.292442860502995
17.7647698504784,18.204274961056832
18.2,17.693734949423515
17.9898045772165,18.002772080030837
18.0059532209848,17.657784231033602
18.024109929357,17.62097772212484
17.9,17.683192003116172
18.2410265355806,17.733168286149184
18.4730568969137,18.199023323074055
18.45,18.50242009202396
18.8,18.49193933707034
19.0,18.889955184842556
18.9193580429279,19.02671907688982
19.2,18.872232841016363
18.70425482397,19.038015164310572
17.9369635569582,18.295067992611187
16.8002785954493,17.564390298781408
16.0518241270717,16.573062622556982
15.6,15.781704763414194
15.8138566276697,15.480197481405373
15.6,15.7503120796962
15.5,15.636753921657327
16.9,15.663816113527362
16.9,17.088286566137484
16.5848711705622,17.048000985081455
16.5,16.6467199748151
16.6090626267992,16.468269041016402
16.9,16.41669718506015
16.3571232368073,16.671661868422134
15.8086066033803,16.130441885217525
15.3658176103493,15.633557127364343
14.6,15.192328128892955
15.1,14.594245221920854
15.8,15.194896743569341
16.8,15.966002689632791
16.6,17.00496022714329
16.7192483526601,16.744246579848742
17.2,16.806569123664733
17.1,17.142401409298195
16.8850347176091,16.965757434807646
16.5714711219633,16.651327367560803
16.0281222467056,16.24384477465082
15.6059489945569,15.778531428750904
15.0,15.461185684900913
15.8806300893339,14.964050565192757
16.2,15.952822795263426
16.6977119639493,16.409817934621746
17.3,16.904783694933087
17.3289357147014,17.482066607389164
17.7,17.4038461015356
17.578123001106,17.64600023195881
17.7,17.42619746103294
17.5275087352717,17.43686800707223
17.3452459710929,17.265700348721165
17.1739152242681,16.974029097018867
16.8,16.972867934023135
17.34778518988,16.764263481500645
17.45,17.376588688502764
18.0,17.559387074788923
16.9,18.155270837921677
18.7,17.08446097804233
18.1784009501267,18.68878296770303
18.5,18.113245544310676
18.2671751442735,18.293824079311115
18.1218438708835,17.89046946219338
17.9291754321507,17.87114982671677
17.8149956585753,17.66201674867633
18.2,17.64225416302829
17.6,18.107832265707373
16.5,17.597939175595904
17.1567953937229,16.647184234387943
16.9,17.31778670460955
17.6200491062091,17.087343346307428
18.2,17.726298135500816
18.4,18.140317266373028
18.1044639434209,18.22764185628568
17.9366033484543,17.739139175215627
17.667241628211,17.574409864968967
17.474775663671,17.476252838178624
18.3,17.329503449484505
16.4609846937963,18.213199770698573
15.0,16.523596460050317
16.3,15.183033380276928
15.4,16.49942862996417
15.7,15.614697901948663
16.1,15.805829796216315
15.8168477039739,16.06073799339549
15.6423294752424,15.629960659356904
15.3808070710038,15.44931528066115
15.2066309911184,15.194485900255561
14.6,15.060811060595583
15.5,14.507419430915434
16.0,15.473026761784016
15.6,16.068352283262687
15.5,15.728014709740116
15.8937543424538,15.645204552310643
16.35,16.036533011743067
16.2996618190614,16.449979973074836
16.7,16.28363628149073
16.2726142498836,16.51299186736312
15.894984389485,15.99218072347101
15.5360771799074,15.599082063902188
15.5,15.262332591408416
15.1510880927314,15.351498612107516
14.7,15.088585271053352
15.0,14.752941152238531
15.1,15.103960870968445
15.4,15.272650005979134
15.7,15.579268479286274
15.4,15.74131475580461
15.3248675513222,15.36488924564232
15.104028867257,15.142787883235329
14.7660248453752,14.915139851317937
14.5360627527944,14.517266923861207
14.2,14.296174362508243
14.5,14.095014257003339
14.8,14.461928764087764
14.9,14.897651378183554
14.921529369299,15.074725664037606
15.2,15.124481078931229
15.0492410961549,15.41702954487815
15.0075105436755,15.185635980708083
14.8798279675214,14.992737706743995
14.643167248577,14.74828892909457
14.4443489136043,14.453469153374456
14.3613876763705,14.233297748216721
14.3370582607855,14.203275898990713
14.5,14.20219041109823
14.1,14.40776166755982
13.7,14.099664038083507
14.5,13.843879078698254
15.1,14.725275807750455
15.3,15.343235552561104
14.9939275902318,15.400309384998096
14.990000692646,14.948389930729968
14.9746918327189,14.83271785153776
14.9192185430464,14.748117293012191
14.7615745551544,14.643896217370335
14.5100780711315,14.550006221687068
14.3314750855839,14.31274788861397
14.2641977998039,14.272063428516415
14.2451942335961,14.287591204084881
14.2402879565296,14.41246851490844
14.2,14.457053201591815
14.4,14.427300618032849
14.1,14.475052398128419
14.1412141093347,14.08338881731055
14.0106461728765,13.947595353853616
13.7750752910018,13.785270291013072
13.5833681335174,13.551257692230285
13.6,13.407990344695293
13.3054613919808,13.48055667000894
13.0924305720408,13.228954521433113
12.8,13.147607170870325
12.9,13.026899322459007
13.2,13.178928660278629
13.7,13.44000720377935
13.3587380221692,13.848650658889074
13.2966325749938,13.367877263398716
13.2,13.176185961731695
13.2350548811667,13.060103945345892
13.2274195567798,13.070151281520467
13.2145753796556,13.112281044564984
13.204919324076,13.075672279988328
13.2,13.194270893445163
13.2003242581381,13.306448406136685
13.197013358222,13.338643241514305
13.1841263046751,13.486517607677659
13.1377045735151,13.451216372621866
13.0079974484711,13.354635362525995
12.8076214439349,13.024298514686262
12.6700023275237,12.74913573696779
12.6191319871583,12.559469806423548
12.604861057744,12.503896981438526
12.601181683043,12.539381176535333
12.6002547842224,12.557411691578613
12.4,12.60628780057744
12.4,12.519776055091624
13.1,12.622008920232735
13.6,13.39787349046967
13.1,13.851065248972159
13.2,13.207274588318754
13.1528392877472,13.21951084560337
13.0796842305178,13.116476908160164
12.8911606979675,12.968535800164734
12.6388634226875,12.76376489601359
12.4880545265582,12.574602632613837
12.2,12.481182933091315
12.7829781166698,12.252108706203833
13.1819172763924,12.911040879023615
13.2,13.352990092061887
13.9,13.503287728723818
13.7861950356139,14.195457158884537
14.1,13.939714893999213
13.8544162632731,14.096790778403415
13.6419857762598,13.679130624642305
13.3277380753334,13.427783969789225
13.1211198655446,13.16706266842884
13.0,12.946712754961903
13.0539359994559,12.904059141270263
12.8,13.062041658036355
13.1,12.906172633369469
13.6288169434596,13.291712991697077
14.0,13.928052623058928
14.7,14.271749684920794
14.3486549990859,14.818009383614037
14.5,14.33533121124099
14.3020102554118,14.419438826225015
14.1313515598198,14.099402453449319
13.9909028554985,13.940426128821674
14.0,13.83187378098988
13.4,13.804856335338577
13.7,13.370629997760785
14.5,13.730528356459628
15.1,14.711442310970588
15.7,15.38789373415555
15.346162854953,15.906584210846828
15.7,15.451949867284565
15.5179720440997,15.611005954384616
15.5009124654594,15.376610909472387
15.4477785671348,15.3092422785335
15.3454290413963,15.231375207166954
15.2553100888423,15.11312720659603
15.216521385185,15.12127546985668
15.205010419036,15.19449654152189
14.8,15.250878760484277
15.2,14.92740052521638
16.3,15.465297822899865
16.1184951339248,16.531469612678883
16.6,16.20659414337462
16.4,16.619254191772587
16.278073427268,16.200161235126732
16.117665350169,16.080668479230134
15.9433578974052,15.863607305165122
15.6,15.72695264533875
16.0498735628995,15.491664567532524
16.0,16.038865610991433
16.3,16.059588834652207
16.6,16.40879386884056
17.0,16.79598735651754
17.2,17.144833594120378
16.3,17.299833821884835
16.3,16.294453968984513
16.3453511924736,16.17708998159287
16.1432884858134,16.157327700272404
15.9022898672602,15.886865177462532
16.4,15.740735815824618
15.0691594571634,16.268850252022418
14.2,15.043225802373117
13.8,14.235505888471785
15.0,13.980802251793927
15.7,15.24634038761647
14.5543386023874,15.90420858608373
13.8,14.719325763251597
13.7,13.809452605119168
13.8896483510843,13.621139813776102
13.7890229499165,13.705881690958556
13.5839308505074,13.678403218379799
13.3899341417418,13.418600787317033
13.3022285052679,13.272232714989126
12.7,13.332098864775016
13.45,12.83899349631584
14.2,13.688321710088461
14.8,14.529236980733044
14.4826255918855,15.023745344540533
14.8,14.546392712530398
14.6023302743422,14.756512886257383
14.5147689429952,14.484920765146775
14.3848450220177,14.347760307660016
14.2991584480612,14.168264660774536
14.5,14.073015697972057
14.0222573597417,14.419385988292664
13.4,13.971009484395857
13.8,13.522828242846929
14.4,13.986971456228012
14.9,14.68495913612609
15.0,15.14446072277402
13.45,15.134934963356633
13.2,13.473843922179636
13.3,13.123193170245703
13.2993145662978,13.136319617492452
13.1096064557998,13.125678541710752
13.2,12.959609203095585
12.5,13.11259149174817
12.6341514522027,12.51094552346546
12.1,12.717289374627628
12.5,12.341301074156336
13.1,12.838770142508663
13.7,13.369024089519181
14.0,13.812242778953454
13.4547551045143,13.987993818732651
13.5,13.361074558808848
12.9975930451471,13.308390845441723
12.6,12.854782443695983
12.7,12.511336969112309
12.2974977973568,12.63164672782481
11.5,12.301659711451974
12.2,11.71978858036329
12.2,12.424139733876938
12.6,12.503224636714325
12.8,12.870044222903246
12.7409305407432,12.976749919080207
13.0,12.697861033340013
12.9,12.953232077281978
12.6771478426761,12.742329451873195
12.2776428535496,12.550892910137215
11.7176409072298,12.18440105683723
11.3681372886751,11.751804894030558
11.1,11.51702686155697
10.9,11.330187880244637
11.4,11.295382811453301
11.6,11.844670079838975
12.7,12.043273358697142
13.0,12.879277140407575
12.5386383789887,13.061939763626572
12.5115212365414,12.479337272164765
12.4125619039931,12.404631366824797
12.1251338891721,12.306319628790805
11.6466453599453,12.051068647746776
11.291018573972,11.66316015936662
11.1534619878547,11.42051328149955
11.1142367864006,11.365064498173234
11.1,11.48119565718727
11.0,11.622058428490222
11.2239685280845,11.489702586935527
11.5,11.52984000257395
11.3894192408488,11.66222756264304
11.4328330983346,11.455951691679166
11.5522030226402,11.45877281354499
11.7311879742601,11.568280272755857
11.8504657654395,11.721519973254386
11.8938295427823,11.97146963973884
11.5,12.026130609766774
12.3966921063662,11.745943999176989
12.8,12.72486626693961
13.4,13.225774405170158
13.0626541241436,13.686159962172786
13.0486866035674,13.247438212878222
13.0089929317165,13.055284477691064
12.9456672770358,12.959886905553477
12.9006962928851,12.816901520962448
12.8837546582,12.764163949641834
13.1,12.767797945224917
12.6418183842658,13.001786277652531
12.5,12.61312645434954
11.8,12.625341767907528
12.9,12.095227327860538
12.7774251623597,13.216337300831999
13.2,13.095141658090384
12.9660122711608,13.4064075421377
12.8901205796801,12.959320910414533
12.7186028712442,12.804158906149212
12.5315930142552,12.587434958396829
12.4376173279073,12.423036529860758
12.6,12.331630385850591
12.1078662343822,12.53135360133632
11.6,12.164721035910526
11.8207053118801,11.784492688669864
